List1,List2,List3,baselineRecog,dayTwoList
,,,,spark
,,,,arrow
,,,,hawk
,,,,pasture
,,,,cannon
,,,,stake
,,,,cane
,,,,spectacle
,,,,bobsled
,,,,thread
,,,,mixer
,,,,mortar
,,,,slush
,,,,drain
,,,,jaguar
,,,,mist
,,,,lion
,,,,piston
,,,,grail
,,,,catnip
,,,,rake
,,,,mustard
,,,,quarter
,,,,poultry
,,,,beam
,,,,marker
,,,,bus
,,,,fig
,,,,pipeline
,,,,needle
,,,,laser
,,,,honey
,,,,ghost
,,,,urchin
,,,,compass
